date,holdings_count,weekly_return
2021-08-03,0,0.0
2021-08-10,25,0.003709297832140567
2021-08-17,23,0.01036410000300373
2021-08-24,24,0.002827895033442827
2021-08-31,25,0.028287648340061138
2021-09-07,25,0.14055217685105473
2021-09-14,25,0.0067324243003160315
2021-09-23,25,-0.08091960888166443
2021-09-30,24,-0.014347915972988595
2021-10-14,25,0.06894971569712967
2021-10-21,25,-0.03672702292499479
2021-10-28,25,-0.01991076764847583
2021-11-04,25,-0.03598415041018323
2021-11-11,24,-0.007321851611227092
2021-11-18,25,0.04036188248627587
2021-11-25,24,0.051218654434033145
2021-12-02,25,-0.0075467708207441085
2021-12-09,25,-0.014089660857134317
2021-12-16,23,-0.02123067991240295
2021-12-23,25,-0.06271920653375106
2021-12-30,25,0.012465802724781063
2022-01-07,25,0.0016135653061527956
2022-01-14,25,0.03553532679209857
2022-01-21,25,-0.07656385159708248
2022-01-28,23,0.12614830263773752
2022-02-11,25,0.02467664294163881
2022-02-18,25,0.04113422989000856
2022-02-25,25,0.05910174320111708
2022-03-04,21,-0.020165379108670896
2022-03-11,25,-0.03396421056038451
2022-03-18,25,0.023256165973763506
2022-03-25,25,0.022349580178116956
2022-04-01,25,-0.023162161866884447
2022-04-12,25,-0.0688126043812012
2022-04-19,23,-0.09004332360950673
2022-04-26,25,0.07686948024877098
2022-05-06,23,0.045759511780458596
2022-05-13,25,0.005305126585214351
2022-05-20,25,0.04505209310251478
2022-05-27,23,0.007984024023993808
2022-06-06,25,0.056241192511488194
2022-06-13,25,0.02795301863892382
2022-06-20,25,-0.037076661081789405
2022-06-27,25,0.024278794091498804
2022-07-04,25,-0.039324668770444146
2022-07-11,25,-0.05273696182445452
2022-07-18,25,-0.017693415562017648
2022-07-25,24,0.02716970695468254
2022-08-01,24,-0.0172630907796424
2022-08-08,25,-0.010613691365421308
2022-08-15,24,-0.018001863896118308
2022-08-22,25,-0.06354784747122191
2022-08-29,25,-0.05080357533611441
2022-09-05,25,-0.024586935012552658
2022-09-13,25,-0.05945739573827177
2022-09-20,25,-0.049863639147863105
2022-09-27,23,-0.0913330368646235
2022-10-11,22,0.07981648145037844
2022-10-18,22,-0.006893465953922625
2022-10-25,24,0.03776338877781073
2022-11-01,25,0.06516749528451107
2022-11-08,23,-0.009974076389775901
2022-11-15,22,-0.0056345031242405405
2022-11-22,24,-0.040716050523565195
2022-11-29,25,0.06378594442132698
2022-12-06,25,-0.0187164426583908
2022-12-13,23,-0.026330994979514254
2022-12-20,25,0.06525611109281998
2022-12-27,24,0.01640061441488819
2023-01-04,23,0.03641083058059929
2023-01-11,25,-0.0031571249347833873
2023-01-18,25,0.017787357960982256
2023-02-01,25,0.008095978467886665
2023-02-08,24,0.015332583141122704
2023-02-15,25,-0.006873625940995553
2023-02-22,25,-0.016434656293145684
2023-03-01,24,-0.005356016400536275
2023-03-08,25,0.04080457563708351
2023-03-15,25,0.022529940714299822
2023-03-22,25,-0.028589572406211444
2023-03-29,25,0.09731605897152794
2023-04-06,23,-0.003822091444444799
2023-04-13,24,0.01603004161815979
2023-04-20,25,0.004254559728882626
2023-04-27,25,0.10367552419017788
2023-05-09,24,0.0029428214665045724
2023-05-16,25,-0.0055918512360017825
2023-05-23,25,-0.021572943694084832
2023-05-30,25,0.004412960958208301
2023-06-06,25,0.009023668985983379
2023-06-13,25,-0.009696040789016126
2023-06-20,25,-0.1067827454673202
2023-06-29,25,-0.008155395768983338
2023-07-06,25,-0.02085705404639575
2023-07-13,25,-0.01449644796439033
2023-07-20,25,-0.027239794560261908
2023-07-27,23,0.010846952273630183
2023-08-03,25,-0.02823322889083745
2023-08-10,25,-0.013967393425924868
2023-08-17,25,-0.0046945238919185025
2023-08-24,25,0.04283609384248699
2023-08-31,25,-0.049888210463722965
2023-09-07,25,-0.0159604136797982
2023-09-14,23,-0.013826820026572024
2023-09-21,25,-0.02539135521619777
2023-09-28,24,-0.0029731534938275354
2023-10-13,25,-0.03592248413314519
2023-10-20,25,0.02780213908721932
2023-10-27,25,-0.024257778424728156
2023-11-03,25,0.0015557522917229024
2023-11-10,25,0.014626010322723969
2023-11-17,25,-0.012739271049005078
2023-11-24,25,-0.0007625897436989123
2023-12-01,25,0.042713395244710635
2023-12-08,25,0.026665218144323495
2023-12-15,25,-0.031095381566066733
2023-12-22,24,-0.031708002232477175
2023-12-29,25,-0.0016036237232114805
2024-01-08,25,-0.04059550528687832
2024-01-15,24,-0.04068520897442259
2024-01-22,25,0.027216567136893653
2024-01-29,25,-0.04563447654372544
2024-02-05,25,0.04315534638254872
2024-02-20,24,0.006963037766631373
2024-02-27,25,0.01698213787142992
2024-03-05,25,0.0228823384602571
2024-03-12,25,0.02458404289991841
2024-03-19,25,-0.01984739409443175
2024-03-26,25,0.017970090848271635
2024-04-02,25,-0.03194736062704235
2024-04-11,25,-0.05428936906053154
2024-04-18,25,-0.02144681335393541
2024-04-25,25,0.044003792165895304
2024-05-07,25,-0.0157040754335659
2024-05-14,25,0.07591609441605976
2024-05-21,25,-0.026366279977279316
2024-05-28,25,-0.04177990127378006
2024-06-04,25,-0.044777646498488526
2024-06-12,24,0.008482535365945357
2024-06-19,25,-0.05350256350347598
2024-06-26,25,0.0050300630749890276
2024-07-03,25,-0.04311636471914947
2024-07-10,25,0.016553262193744596
2024-07-17,25,-0.02725740860344734
2024-07-24,24,0.007462618511091943
2024-07-31,25,-0.0073589264817315566
2024-08-07,24,-0.028623981966693756
2024-08-14,25,-0.020729852968241817
2024-08-21,25,-0.03652605261982265
2024-08-28,25,0.04300424611495724
2024-09-04,24,-0.02009636094382318
2024-09-11,25,-0.045031046127418
2024-09-20,25,0.06899899995397667
2024-09-27,25,0.06295308797157216
2024-10-11,24,0.00047710700184361613
2024-10-18,25,0.021112443429241866
2024-10-25,25,0.0038531454587835473
2024-11-01,25,0.10787269909504972
2024-11-08,25,-0.0384727836128514
2024-11-15,25,0.027916353103749247
2024-11-22,25,0.014676784860954941
2024-11-29,25,0.0409741363449493
2024-12-06,25,0.05491965438288674
2024-12-13,25,-0.02629540067300464
2024-12-20,23,-0.10647968850379708
2024-12-27,25,-0.06304065717031088
2025-01-06,24,0.0015267265010209616
2025-01-13,25,0.03095472706369231
2025-01-20,25,-0.01928096589169039
2025-01-27,25,0.05993996108568633
2025-02-11,25,0.024004533171837334
2025-02-18,25,0.025937853354765367
2025-02-25,25,-0.003326150342115277
2025-03-04,25,0.03626214244066958
2025-03-11,25,-0.014359966705172535
2025-03-18,23,-0.04714244079450878
2025-03-25,25,0.002951827699024182
2025-04-01,25,0.008812440665732736
2025-04-09,24,0.06094489322261729
2025-04-16,25,0.039015179028053106
2025-04-23,25,-0.03378465514635451
2025-04-30,25,0.03191684509919378
2025-05-12,25,-0.04018967307215028
2025-05-19,25,-0.03510516660191878
2025-05-26,23,-0.0044810457679198955
2025-06-03,25,0.03014700714371566
2025-06-10,22,0.0017243252695456682
2025-06-17,25,-0.0342855031042592
2025-06-24,25,0.05598875534193801
2025-07-01,25,-0.015541498653515562
2025-07-08,25,-0.004476489095364546
2025-07-15,25,0.009666073256478721
2025-07-22,25,0.03755644551298898
2025-07-29,25,-0.052386912495393984
2025-08-05,23,0.01450262882067348
2025-08-12,25,0.0675953906046363
2025-08-19,25,0.06813524796777322
2025-08-26,25,0.06485489734979631
2025-09-02,25,0.020089447023807938
2025-09-09,24,-0.004545977584889251
2025-09-16,25,-0.0488188451528023
2025-09-23,25,-0.004028210531396275
2025-09-30,25,0.006798370088118955
2025-10-15,25,-0.051909222552763784
2025-10-22,25,0.0314652119668282
2025-10-29,25,-0.011385983493118304
2025-11-05,25,0.036359331291903496
2025-11-12,24,0.030743837406538906
2025-11-19,25,-0.0311929978040987
2025-11-26,25,0.015806228120356144
2025-12-03,25,0.052846332722448125
2025-12-10,25,-0.02529077776739088
2025-12-17,24,0.011166634493266051
2025-12-24,25,-0.01326499837954349
2025-12-31,25,0.0
