strategy,trades,zero_friction_ret,gross_pnl,total_stamp,total_transfer,net_pnl,net_ret,win_rate,profit_factor,avg_net_per_trade,friction_loss_pp
MA5_baseline,155,1.0372699999999988,103726.9999999999,11581.2015,462.21079000000003,91683.5877099999,0.916835877099999,0.33548387096774196,1.214578877033004,591.5070174838703,12.043412289999978
tsfresh_p60,155,0.44214,44213.99999999999,9904.714500000002,395.74644,33913.539059999996,0.3391353906,0.5225806451612903,1.1352916877036767,218.79702619354836,10.30046094
tsfresh_p55,160,0.3011300000000003,30113.000000000022,9708.1695,388.02565000000004,20016.804850000015,0.20016804850000014,0.50625,1.0907556592315322,125.10503031250009,10.096195150000014
tsfresh_p50,161,0.2422299999999997,24222.999999999964,9558.308,382.09009000000003,14282.601909999961,0.14282601909999962,0.4968944099378882,1.0736196505475202,88.71181310558983,9.940398090000008
