# === Top 10 强势行业 (588 行业指数 vs 大盘) ===
industry_code,industry_name,ret,alpha_vs_idx
880812.SH,昨日连板,0.8380983883119788,0.8146739427214682
881289.SH,航天装备,0.7990520118179689,0.7756275662274583
880863.SH,昨日涨停,0.42865548531658515,0.40523103972607455
880556.SH,昨ST连板,0.40125648729855246,0.37783204170804185
880774.SH,昨日首板,0.34622972541053176,0.32280527982002116
880559.SH,要约收购,0.2622240529550104,0.2387996073644998
881115.SH,林业,0.23253007522327507,0.20910562963276447
880818.SH,通达信热股,0.2270258203735398,0.2036013747830292
881291.SH,军工电子,0.22625698324022347,0.20283253764971287
880640.SH,历史新高,0.20447138761831685,0.18104694202780625

# === Top 10 行业 成分股 Top 20 (α vs 大盘) ===
industry_code,industry_name,industry_ret,stock,stock_ret,alpha_vs_idx,alpha_vs_industry
880640.SH,历史新高,0.20447138761831685,002916.SZ,0.19367568409574742,0.17025123850523682,-0.010795703522569422
880818.SH,通达信热股,0.2270258203735398,300394.SZ,0.1712456438933463,0.1478211983028357,-0.05578017648019351
880818.SH,通达信热股,0.2270258203735398,002384.SZ,0.1658173805260985,0.1423929349355879,-0.06120843984744129
880818.SH,通达信热股,0.2270258203735398,300308.SZ,0.16503739980487064,0.14161295421436004,-0.061988420568669156
880640.SH,历史新高,0.20447138761831685,300502.SZ,0.15518603513788043,0.13176158954736983,-0.04928535248043642
880818.SH,通达信热股,0.2270258203735398,300502.SZ,0.15518603513788043,0.13176158954736983,-0.07183978523565937
880818.SH,通达信热股,0.2270258203735398,300476.SZ,0.07304151794101066,0.04961707235050006,-0.15398430243252914
880640.SH,历史新高,0.20447138761831685,688041.SH,0.06798475464506892,0.04456030905455832,-0.13648663297324792
880818.SH,通达信热股,0.2270258203735398,600030.SH,0.05897920604914941,0.03555476045863881,-0.1680466143243904
880640.SH,历史新高,0.20447138761831685,002371.SZ,0.058153739771810375,0.034729294181299775,-0.14631764784650647
880818.SH,通达信热股,0.2270258203735398,300059.SZ,0.042928151830094796,0.019503706239584195,-0.184097668543445
880818.SH,通达信热股,0.2270258203735398,002463.SZ,0.02153716216216206,-0.0018872834283485407,-0.20548865821137774
880640.SH,历史新高,0.20447138761831685,688256.SH,0.01747746739069589,-0.005946978199814712,-0.18699392022762096
880818.SH,通达信热股,0.2270258203735398,688256.SH,0.01747746739069589,-0.005946978199814712,-0.2095483529828439
880818.SH,通达信热股,0.2270258203735398,300750.SZ,-0.023894668400520125,-0.047319113991030726,-0.2509204887740599
880818.SH,通达信热股,0.2270258203735398,002475.SZ,-0.03596999659052169,-0.05939444218103229,-0.2629958169640615
