stock,win_end_date,cur_close,up_proba,past_5d_ret,past_5d_dir,real_fwd_ret,real_fwd_dir
300033.SZ,2026-06-24,240.2,1.0,9.87,up,,
688617.SH,2026-06-24,188.49,0.9998,-3.78,down,,
603268.SH,2026-06-24,146.62,0.9998,-2.75,down,,
688111.SH,2026-06-24,215.17,0.9991,0.41,up,,
603259.SH,2026-06-24,115.4,0.9988,17.56,up,,
300274.SZ,2026-06-24,154.8,0.9988,1.51,up,,
002463.SZ,2026-06-24,143.35,0.998,1.93,up,,
600809.SH,2026-06-24,105.71,0.9911,-9.92,down,,
605499.SH,2026-06-24,114.05,0.9864,-8.6,down,,
605117.SH,2026-06-24,99.75,0.986,-2.61,down,,
300059.SZ,2026-06-24,20.18,0.97,5.54,up,,
300803.SZ,2026-06-24,98.02,0.9492,1.58,up,,
603568.SH,2026-06-24,16.0,0.9247,-5.88,down,,
601155.SH,2026-06-24,10.73,0.9007,-4.62,down,,
300413.SZ,2026-06-24,15.05,0.8995,-5.29,down,,
601061.SH,2026-06-24,11.62,0.8976,-6.21,down,,
603993.SH,2026-06-24,18.98,0.8939,-5.24,down,,
600346.SH,2026-06-24,18.44,0.8898,3.77,up,,
603733.SH,2026-06-24,24.74,0.8818,-15.07,down,,
000708.SZ,2026-06-24,13.28,0.8559,-3.84,down,,
600415.SH,2026-06-24,10.05,0.8486,-10.9,down,,
600754.SH,2026-06-24,18.97,0.8443,-5.34,down,,
600221.SH,2026-06-24,1.42,0.8367,-4.7,down,,
002468.SZ,2026-06-24,13.78,0.8308,2.38,up,,
002602.SZ,2026-06-24,13.19,0.8283,-0.45,down,,
600585.SH,2026-06-24,17.26,0.8172,-5.32,down,,
600388.SH,2026-06-24,15.71,0.8008,-4.9,down,,
600803.SH,2026-06-24,16.43,0.7437,-2.72,down,,
002475.SZ,2026-06-24,75.05,0.7135,11.58,up,,
603776.SH,2026-06-24,21.71,0.6839,3.68,up,,
000895.SZ,2026-06-24,22.57,0.6587,-4.12,down,,
601899.SH,2026-06-24,27.65,0.6465,-8.72,down,,
603298.SH,2026-06-24,23.8,0.6269,-3.37,down,,
000408.SZ,2026-06-24,73.2,0.6256,-4.11,down,,
600989.SH,2026-06-24,22.41,0.624,1.77,up,,
002558.SZ,2026-06-24,25.21,0.6201,3.83,up,,
600673.SH,2026-06-24,36.34,0.6089,11.37,up,,
603605.SH,2026-06-24,56.55,0.6048,-14.67,down,,
002415.SZ,2026-06-24,34.03,0.5922,5.68,up,,
600030.SH,2026-06-24,27.89,0.5711,2.35,up,,
002648.SZ,2026-06-24,25.66,0.5677,14.91,up,,
002001.SZ,2026-06-24,30.74,0.5457,11.18,up,,
603699.SH,2026-06-24,49.92,0.5431,-12.54,down,,
002714.SZ,2026-06-24,32.53,0.53,-7.19,down,,
603816.SH,2026-06-24,22.89,0.529,-10.62,down,,
600895.SH,2026-06-24,33.41,0.5262,0.33,up,,
600323.SH,2026-06-24,27.47,0.5155,-4.92,down,,
300124.SZ,2026-06-24,66.31,0.5099,-5.6,down,,
688187.SH,2026-06-24,61.27,0.5047,7.28,up,,
600900.SH,2026-06-24,26.6,0.4751,-2.17,down,,
601127.SH,2026-06-24,61.8,0.4632,-10.15,down,,
688041.SH,2026-06-24,337.1,0.4306,14.6,up,,
601336.SH,2026-06-24,61.85,0.4225,-0.21,down,,
603899.SH,2026-06-24,20.72,0.3947,-6.83,down,,
300442.SZ,2026-06-24,85.6,0.3812,7.85,up,,
601225.SH,2026-06-24,22.04,0.3725,-9.67,down,,
603099.SH,2026-06-24,35.75,0.3663,-4.34,down,,
000792.SZ,2026-06-24,31.34,0.3663,0.61,up,,
002311.SZ,2026-06-24,41.4,0.3563,0.0,down,,
600036.SH,2026-06-24,36.76,0.3536,-4.69,down,,
603195.SH,2026-06-24,40.12,0.3291,1.49,up,,
601689.SH,2026-06-24,58.2,0.3103,-4.17,down,,
600018.SH,2026-06-24,4.85,0.2735,-2.02,down,,
600039.SH,2026-06-24,8.08,0.2518,-3.23,down,,
600968.SH,2026-06-24,3.8,0.2485,-0.78,down,,
600276.SH,2026-06-24,50.25,0.2453,6.12,up,,
600901.SH,2026-06-24,5.97,0.22,-6.57,down,,
601668.SH,2026-06-24,4.48,0.1964,-4.88,down,,
600760.SH,2026-06-24,40.62,0.1942,-4.38,down,,
601288.SH,2026-06-24,6.34,0.151,-4.08,down,,
600461.SH,2026-06-24,9.13,0.1465,-0.87,down,,
002027.SZ,2026-06-24,4.8,0.1395,-7.69,down,,
000538.SZ,2026-06-24,47.63,0.1247,-3.6,down,,
600916.SH,2026-06-24,7.29,0.1216,-6.54,down,,
601360.SH,2026-06-24,8.96,0.1214,-3.86,down,,
601728.SH,2026-06-24,5.39,0.112,-9.56,down,,
300394.SZ,2026-06-24,325.28,0.0749,0.18,up,,
002837.SZ,2026-06-24,82.86,0.0216,13.21,up,,
002384.SZ,2026-06-24,257.13,0.0015,3.24,up,,
002371.SZ,2026-06-24,770.07,0.0,14.56,up,,
002916.SZ,2026-06-24,431.9,0.0,6.94,up,,
600519.SH,2026-06-24,1207.68,0.0,-3.82,down,,
300476.SZ,2026-06-24,343.43,0.0,-3.39,down,,
300308.SZ,2026-06-24,1312.18,0.0,5.14,up,,
300750.SZ,2026-06-24,395.36,0.0,-2.02,down,,
300502.SZ,2026-06-24,555.3,0.0,1.15,up,,
688256.SH,2026-06-24,1453.0,0.0,11.17,up,,
688300.SH,2026-06-24,246.56,0.0,12.07,up,,
