stock,ret,alpha_vs_idx,alpha_vs_sector
002837.SZ,0.5001827485380117,0.4767583029475011,0.46061219639077255
000408.SZ,0.3115013447239361,0.2880768991334255,0.27193079257669694
601689.SH,0.19753279200499674,0.17410834641448614,0.1579622398577576
002916.SZ,0.19367568409574742,0.17025123850523682,0.15410513194850828
300394.SZ,0.1712456438933463,0.1478211983028357,0.13167509174610714
002384.SZ,0.1658173805260985,0.1423929349355879,0.12624682837885937
300308.SZ,0.16503739980487064,0.14161295421436004,0.1254668476576315
300502.SZ,0.15518603513788043,0.13176158954736983,0.11561548299064128
603568.SH,0.15298715801228346,0.12956271242177286,0.11341660586504432
600346.SH,0.15233160621761654,0.12890716062710594,0.1127610540703774
601899.SH,0.15207840486650914,0.12865395927599854,0.11250785271927
603993.SH,0.13733410271206026,0.11390965712154966,0.09776355056482111
603699.SH,0.11368605159597722,0.09026160600546662,0.07411549944873808
600895.SH,0.10830598333754105,0.08488153774703044,0.0687354311903019
002558.SZ,0.10569522832221656,0.08227078273170596,0.06612467617497741
000792.SZ,0.10431372549019602,0.08088927989968542,0.06474317334295687
688300.SH,0.09864430966821258,0.07521986407770198,0.059073757520973436
601336.SH,0.09505106048703849,0.07162661489652788,0.05548050833979934
300803.SZ,0.09073471770494534,0.06731027211443474,0.0511641655577062
300442.SZ,0.0886597938144329,0.0652353482239223,0.04908924166719375
