stock,ma5,ma10,ma20,rsi14,atr14,bband_pctb,macd,stoch_k,obv,mfi14,adx14,amount,vwap
000408.SZ,0.08092195878778834,0.100377359189374,0.10065674167973912,-0.2759165700559225,0.10194402239694882,-0.2361023695320809,-0.06444429365345418,-0.2740139457125489,0.09325743000746263,-0.09488706732140799,0.06995911043293353,0.07991436051471226,0.07036215738808894
000538.SZ,-0.2399277646152243,-0.26779916351127886,-0.26017222659032324,-0.11997464507985896,-0.2147426571365297,-0.05345949837528352,-0.09432672531646562,-0.07854650148917888,-0.20133176219061039,0.0065046362658989125,-0.1874935033752864,0.029065051867182185,-0.2959744391898838
000708.SZ,-0.01756463816139976,0.005541789811463892,0.01786351226709655,-0.1256834496499592,-0.04572315936666567,-0.14511182440552162,-0.14031443696525003,-0.10281303781475994,0.02242536855176061,-0.1292151971226556,-0.05649682588568442,-0.1224869313121285,-0.05576831713964435
000792.SZ,0.13071170040468894,0.15199601043057695,0.15134125564079065,-0.0743649000833823,0.07628010466179602,-0.20703632122950766,0.042466832821652485,-0.17717522160599927,0.11262559878287451,-0.027861045408339582,0.08564361991379534,-0.03829992834887701,0.10068512748236949
000895.SZ,-0.20252220537262566,-0.22804529328154724,-0.20421557291954143,-0.06883372816524681,-0.15551817159871922,-0.008363992746143654,-0.1825717872797071,-0.03667484101358708,-0.048952997717802045,-0.08531983142740464,-0.12088530456441501,0.02754110614459565,-0.2701847467700647
002001.SZ,-0.16362518074270527,-0.10299896449249818,-0.07044053011198576,-0.32512317294188414,-0.048868462416183804,-0.28103630199293694,-0.3406630073265153,-0.2726400850934255,-0.09187247416598789,-0.1837481264464141,0.04507578495923838,-0.11319104231630361,-0.24445388035913695
002027.SZ,-0.1976114378110465,-0.1889453898033283,-0.17777266728214308,-0.13596946356488568,-0.12218300395083687,-0.0952113058694769,-0.08250886167391622,-0.07475743856119332,-0.07227976228836724,-0.041464201788388416,0.047740982137403354,-0.0052799974610452565,-0.2026391917067505
002311.SZ,-0.2586067156126224,-0.24496991530234807,-0.25309266801469665,-0.08632412087190369,-0.2517155203386511,-0.09528246877635457,-0.02332792781565242,-0.05709128167279716,-0.22900587773529624,-0.013036957681774423,-0.003227516387113161,0.050114249261413384,-0.26177200927544264
002371.SZ,-0.12193478163567079,-0.09454818584538362,-0.05385313740426125,-0.20463494936583648,-0.05671020818033212,-0.0734983732999322,-0.26243229777090604,-0.09700385272280229,-0.001996243145887025,-0.07481134701823298,0.008041523205195838,-0.034969507255509166,-0.2917479539185159
002384.SZ,-0.04417241047069955,-0.0454480127898553,-0.03194608517102929,-0.04224755233580175,-0.025986891511958023,-0.12530153438437208,-0.09029624614843955,-0.03189869635845086,0.01941962849344435,-0.030724267006929425,0.0555189533559678,-0.09306162386152775,-0.06271286148165782
002415.SZ,-0.29961571093443,-0.30398440276621164,-0.3191287233483769,-0.038977814361171946,-0.1710893516557433,0.06990014841024572,-0.12937948798119814,0.04598739972004483,-0.23384656803270712,0.10933827102691378,-0.1239768172059409,-0.04466454478053898,-0.2876453093031227
002463.SZ,-0.06640491907311372,-0.05408990759347798,-0.04588100255626008,0.008179742598578288,-0.03559680071630832,-0.059127248951872394,0.008641040261527608,-0.07423743314519453,0.09189905995404893,-0.11118486675461207,0.07346129075832182,-0.05063503491572729,-0.08568117566976581
