date,holdings_count,weekly_return,year
2021-08-30,0,0.0,2021
2021-09-06,1,0.34044943820224716,2021
2021-09-13,1,-0.10396039603960394,2021
2021-09-22,1,-0.24219910846953951,2021
2021-09-29,1,-0.13350340136054428,2021
2021-10-13,1,0.051219512195122,2021
2021-10-20,1,0.04653061224489807,2021
2021-10-27,1,0.03470715835141003,2021
2021-11-03,1,0.013725490196078383,2021
2021-11-10,1,-0.004819277108433773,2021
2021-11-17,1,-0.03111111111111109,2021
2021-11-24,1,-0.048387096774193505,2021
2021-12-01,1,-0.06788389513108617,2021
2021-12-08,1,0.021712907117008573,2021
2021-12-15,1,0.1016042780748665,2021
2021-12-22,1,0.018023255813953698,2021
2021-12-29,1,0.0822311673375502,2021
2022-01-06,1,-0.027965284474445462,2022
2022-01-13,1,0.008932369204593726,2022
2022-01-20,1,-0.18567639257294433,2022
2022-01-27,1,0.08652246256239615,2022
2022-02-10,1,-0.007098491570541321,2022
2022-02-17,1,0.1270718232044199,2022
2022-02-24,1,-0.022408963585434205,2022
2022-03-03,1,-0.042239081402501544,2022
2022-03-10,1,-0.2166344294003869,2022
2022-03-17,1,0.04067971163748707,2022
2022-03-24,1,-0.017991967871485937,2022
2022-03-31,1,-0.23817034700315454,2022
2022-04-11,1,0.05865623889086402,2022
2022-04-18,1,-0.11407129455909937,2022
2022-04-25,1,0.14351145038167945,2022
2022-05-05,1,-0.026966292134831482,2022
2022-05-12,1,0.06688963210702337,2022
2022-05-19,1,-0.030776667740895935,2022
2022-05-26,1,-0.04212990052662369,2022
2022-06-02,1,0.17325633051976896,2022
2022-06-10,1,0.09271099744245515,2022
2022-06-17,1,0.12433581296493101,2022
2022-06-24,1,0.038302666165978216,2022
2022-07-01,1,0.037714470702492786,2022
2022-07-08,1,-0.0829452852153666,2022
2022-07-15,1,0.005270092226614009,2022
2022-07-22,1,0.5964467005076142,2022
2022-07-29,1,-0.17524115755627012,2022
2022-08-05,1,0.11389759665621724,2022
2022-08-12,1,-0.062001450326323315,2022
2022-08-19,1,0.08596837944664038,2022
