stock,win_end_date,cur_close,up_proba,past_5d_ret,past_5d_dir,real_fwd_ret,real_fwd_dir
600901.SH,2026-06-11,6.58,0.764,1.39,up,,
603993.SH,2026-06-11,17.37,0.7581,-5.7,down,,
002602.SZ,2026-06-11,14.78,0.7484,-2.83,down,,
600039.SH,2026-06-11,8.34,0.7465,-1.53,down,,
603733.SH,2026-06-11,27.12,0.7411,11.47,up,,
600895.SH,2026-06-11,32.47,0.7317,-3.88,down,,
600989.SH,2026-06-11,22.96,0.7296,-6.78,down,,
603776.SH,2026-06-11,19.49,0.7211,0.15,up,,
002468.SZ,2026-06-11,13.91,0.6982,-7.45,down,,
002648.SZ,2026-06-11,23.56,0.686,-1.05,down,,
600415.SH,2026-06-11,11.02,0.6857,-14.97,down,,
600585.SH,2026-06-11,18.57,0.6853,-8.57,down,,
002558.SZ,2026-06-11,23.65,0.676,-10.25,down,,
000792.SZ,2026-06-11,30.41,0.6748,0.1,up,,
600221.SH,2026-06-11,1.48,0.6725,-2.63,down,,
601899.SH,2026-06-11,27.33,0.6678,-9.47,down,,
600323.SH,2026-06-11,30.18,0.6437,-3.95,down,,
601061.SH,2026-06-11,11.14,0.6421,-13.84,down,,
603899.SH,2026-06-11,22.17,0.6335,-4.6,down,,
603568.SH,2026-06-11,16.18,0.6267,5.41,up,,
601668.SH,2026-06-11,4.74,0.6256,-2.27,down,,
600803.SH,2026-06-11,18.23,0.6212,-8.07,down,,
601155.SH,2026-06-11,11.68,0.615,-11.58,down,,
002001.SZ,2026-06-11,29.41,0.6127,-1.47,down,,
002027.SZ,2026-06-11,5.34,0.6104,-5.99,down,,
600030.SH,2026-06-11,25.51,0.6103,0.99,up,,
603298.SH,2026-06-11,23.13,0.6059,-8.36,down,,
600346.SH,2026-06-11,16.29,0.6016,-6.75,down,,
600388.SH,2026-06-11,16.63,0.5892,-10.11,down,,
600754.SH,2026-06-11,19.29,0.5775,-7.44,down,,
600900.SH,2026-06-11,27.89,0.5653,0.43,up,,
600968.SH,2026-06-11,3.82,0.5542,-5.68,down,,
600760.SH,2026-06-11,41.62,0.5403,-4.98,down,,
000708.SZ,2026-06-11,13.83,0.5341,-1.78,down,,
300413.SZ,2026-06-11,15.68,0.534,-12.4,down,,
603099.SH,2026-06-11,36.86,0.5248,-5.97,down,,
600916.SH,2026-06-11,7.47,0.5174,-6.74,down,,
002415.SZ,2026-06-11,29.98,0.4921,-0.27,down,,
603816.SH,2026-06-11,27.02,0.4836,-7.5,down,,
000895.SZ,2026-06-11,24.17,0.447,-3.44,down,,
601360.SH,2026-06-11,9.0,0.4442,-13.46,down,,
600461.SH,2026-06-11,9.36,0.4409,-9.21,down,,
601336.SH,2026-06-11,59.22,0.4248,0.8,up,,
600276.SH,2026-06-11,46.98,0.3998,-4.45,down,,
002311.SZ,2026-06-11,44.9,0.3961,-7.54,down,,
000538.SZ,2026-06-11,50.55,0.3828,1.47,up,,
601225.SH,2026-06-11,26.93,0.3787,0.6,up,,
000408.SZ,2026-06-11,76.01,0.372,-0.05,down,,
600018.SH,2026-06-11,4.97,0.3614,-3.31,down,,
300124.SZ,2026-06-11,69.21,0.3378,-6.47,down,,
601728.SH,2026-06-11,6.24,0.3161,4.7,up,,
002714.SZ,2026-06-11,34.16,0.3154,-9.68,down,,
603259.SH,2026-06-11,97.07,0.2977,-2.92,down,,
601288.SH,2026-06-11,6.68,0.2963,2.93,up,,
603195.SH,2026-06-11,40.49,0.2929,-0.05,down,,
603699.SH,2026-06-11,51.8,0.2726,-9.76,down,,
601127.SH,2026-06-11,67.71,0.2715,-14.6,down,,
603605.SH,2026-06-11,63.4,0.2575,-5.56,down,,
300059.SZ,2026-06-11,17.36,0.2279,-8.49,down,,
300803.SZ,2026-06-11,78.37,0.2251,-14.0,down,,
601689.SH,2026-06-11,61.38,0.2166,0.33,up,,
600036.SH,2026-06-11,38.73,0.2079,1.39,up,,
600809.SH,2026-06-11,119.6,0.1527,-6.66,down,,
688617.SH,2026-06-11,199.66,0.1431,-2.4,down,,
603268.SH,2026-06-11,144.9,0.1373,9.32,up,,
600673.SH,2026-06-11,33.14,0.092,-7.3,down,,
002475.SZ,2026-06-11,64.58,0.0089,-8.67,down,,
002463.SZ,2026-06-11,126.91,0.0082,3.59,up,,
605499.SH,2026-06-11,133.12,0.0051,-12.59,down,,
605117.SH,2026-06-11,101.2,0.0048,-11.23,down,,
002371.SZ,2026-06-11,637.5,0.002,8.07,up,,
688111.SH,2026-06-11,209.56,0.0017,-18.17,down,,
300442.SZ,2026-06-11,74.02,0.0012,-9.94,down,,
688187.SH,2026-06-11,54.78,0.001,-5.06,down,,
300033.SZ,2026-06-11,193.04,0.0007,-15.66,down,,
300274.SZ,2026-06-11,146.75,0.0003,-15.66,down,,
002837.SZ,2026-06-11,67.14,0.0003,1.63,up,,
002384.SZ,2026-06-11,210.99,0.0,10.03,up,,
002916.SZ,2026-06-11,376.16,0.0,-1.01,down,,
300308.SZ,2026-06-11,1124.0,0.0,-0.53,down,,
600519.SH,2026-06-11,1279.0,0.0,-2.34,down,,
300502.SZ,2026-06-11,526.0,0.0,8.48,up,,
300476.SZ,2026-06-11,325.48,0.0,-4.93,down,,
300750.SZ,2026-06-11,382.2,0.0,-9.02,down,,
300394.SZ,2026-06-11,412.3,0.0,-3.87,down,,
688041.SH,2026-06-11,289.84,0.0,5.26,up,,
688256.SH,2026-06-11,1219.5,0.0,-1.49,down,,
688300.SH,2026-06-11,177.66,0.0,2.1,up,,
