stock,freq,trades,zero_ret,net_pnl,net_ret,win_rate
600118.SH,3,149,1.4045,132794.23966,1.3279423966,0.5033557046979866
600879.SH,2,94,1.2087500000000002,115346.22299,1.1534622299,0.5851063829787234
002050.SZ,1,154,1.1908599999999996,110094.18899999995,1.1009418899999996,0.512987012987013
688523.SH,1,14,0.8648999999999999,85886.6145,0.8588661449999999,0.7142857142857143
000592.SZ,1,135,0.7826099999999997,72387.99149999997,0.7238799149999997,0.4962962962962963
003009.SZ,2,104,0.43710000000000043,40175.91000000004,0.4017591000000004,0.5192307692307693
601698.SH,2,83,0.2425499999999997,19837.116109999988,0.1983711610999999,0.5421686746987951
