stock,win_end_date,cur_close,up_proba,past_5d_ret,past_5d_dir,real_fwd_ret,real_fwd_dir
300033.SZ,2026-06-26,242.0,1.0,12.72,up,,
002463.SZ,2026-06-26,147.28,1.0,-0.42,down,,
688111.SH,2026-06-26,200.03,1.0,-7.97,down,,
688041.SH,2026-06-26,344.9,1.0,5.2,up,,
002384.SZ,2026-06-26,260.32,0.9999,-4.64,down,,
300274.SZ,2026-06-26,151.05,0.9996,2.77,up,,
603268.SH,2026-06-26,143.82,0.9977,-1.7,down,,
300394.SZ,2026-06-26,318.0,0.9959,-5.53,down,,
300803.SZ,2026-06-26,94.79,0.9936,-1.01,down,,
600809.SH,2026-06-26,108.1,0.9932,-4.57,down,,
603259.SH,2026-06-26,118.18,0.9931,15.05,up,,
605499.SH,2026-06-26,110.9,0.9916,-8.04,down,,
605117.SH,2026-06-26,96.49,0.9876,-6.5,down,,
688617.SH,2026-06-26,181.27,0.9832,-5.41,down,,
601155.SH,2026-06-26,10.42,0.9331,-4.14,down,,
300059.SZ,2026-06-26,20.07,0.9312,7.9,up,,
600415.SH,2026-06-26,9.76,0.9246,-7.4,down,,
000708.SZ,2026-06-26,12.95,0.9243,-4.29,down,,
600221.SH,2026-06-26,1.39,0.9052,-4.14,down,,
002468.SZ,2026-06-26,13.68,0.8979,3.01,up,,
002602.SZ,2026-06-26,13.67,0.8966,5.64,up,,
600585.SH,2026-06-26,17.17,0.8868,-3.32,down,,
601061.SH,2026-06-26,10.81,0.8796,-9.62,down,,
603993.SH,2026-06-26,17.24,0.8786,-13.97,down,,
600388.SH,2026-06-26,14.73,0.8687,-9.13,down,,
601899.SH,2026-06-26,25.1,0.8619,-14.36,down,,
300413.SZ,2026-06-26,14.35,0.8572,-7.66,down,,
600803.SH,2026-06-26,15.9,0.848,-2.33,down,,
600346.SH,2026-06-26,18.44,0.8478,7.84,up,,
600754.SH,2026-06-26,18.28,0.8372,-6.26,down,,
300442.SZ,2026-06-26,77.77,0.83,-8.7,down,,
603568.SH,2026-06-26,15.67,0.8066,-4.39,down,,
600673.SH,2026-06-26,34.28,0.7959,-5.46,down,,
600323.SH,2026-06-26,27.55,0.7955,-4.74,down,,
000408.SZ,2026-06-26,68.05,0.7588,-10.95,down,,
603699.SH,2026-06-26,49.55,0.7536,-13.77,down,,
600030.SH,2026-06-26,27.74,0.7298,4.44,up,,
002558.SZ,2026-06-26,27.44,0.6828,14.81,up,,
603733.SH,2026-06-26,26.76,0.6787,0.19,up,,
000895.SZ,2026-06-26,22.8,0.6232,0.04,up,,
000792.SZ,2026-06-26,28.91,0.622,-2.82,down,,
601336.SH,2026-06-26,59.6,0.6118,3.56,up,,
002648.SZ,2026-06-26,24.87,0.6118,14.87,up,,
603099.SH,2026-06-26,35.11,0.6002,-4.33,down,,
603605.SH,2026-06-26,56.7,0.5988,-12.28,down,,
688187.SH,2026-06-26,59.63,0.5871,1.58,up,,
600900.SH,2026-06-26,26.65,0.5841,-0.04,down,,
600989.SH,2026-06-26,20.74,0.573,-3.58,down,,
603195.SH,2026-06-26,38.35,0.5706,-2.54,down,,
603298.SH,2026-06-26,24.25,0.5639,-1.66,down,,
601225.SH,2026-06-26,20.7,0.5568,-6.17,down,,
600895.SH,2026-06-26,33.96,0.5487,3.25,up,,
002714.SZ,2026-06-26,33.56,0.5277,-0.21,down,,
603776.SH,2026-06-26,20.54,0.4973,-6.55,down,,
002001.SZ,2026-06-26,29.58,0.4871,5.64,up,,
600276.SH,2026-06-26,48.67,0.4829,0.52,up,,
603899.SH,2026-06-26,20.68,0.4586,-2.91,down,,
000538.SZ,2026-06-26,47.0,0.4526,-2.95,down,,
603816.SH,2026-06-26,22.49,0.4441,-5.82,down,,
601689.SH,2026-06-26,52.75,0.4335,-15.33,down,,
300124.SZ,2026-06-26,63.28,0.4196,-11.1,down,,
601127.SH,2026-06-26,59.8,0.3894,-7.73,down,,
002311.SZ,2026-06-26,43.56,0.3844,5.73,up,,
002475.SZ,2026-06-26,68.0,0.3807,-2.76,down,,
600760.SH,2026-06-26,40.59,0.3526,-1.65,down,,
600018.SH,2026-06-26,4.76,0.3478,-2.66,down,,
600036.SH,2026-06-26,36.0,0.3352,-3.38,down,,
600968.SH,2026-06-26,3.43,0.3183,-5.25,down,,
002415.SZ,2026-06-26,33.32,0.295,3.16,up,,
002837.SZ,2026-06-26,82.57,0.2478,11.03,up,,
601728.SH,2026-06-26,5.32,0.2092,-6.34,down,,
600901.SH,2026-06-26,5.9,0.1991,-2.48,down,,
601288.SH,2026-06-26,6.19,0.1643,-2.83,down,,
601668.SH,2026-06-26,4.4,0.155,-4.56,down,,
002027.SZ,2026-06-26,4.76,0.1274,-5.18,down,,
601360.SH,2026-06-26,8.48,0.1148,-9.5,down,,
600039.SH,2026-06-26,7.93,0.1076,-4.11,down,,
600916.SH,2026-06-26,6.89,0.1074,-6.89,down,,
600461.SH,2026-06-26,9.28,0.0947,1.2,up,,
688300.SH,2026-06-26,265.56,0.072,-1.82,down,,
002916.SZ,2026-06-26,433.5,0.0,-4.47,down,,
002371.SZ,2026-06-26,813.37,0.0,12.81,up,,
600519.SH,2026-06-26,1168.63,0.0,-1.55,down,,
300308.SZ,2026-06-26,1253.89,0.0,-8.33,down,,
300750.SZ,2026-06-26,381.0,0.0,-2.69,down,,
300502.SZ,2026-06-26,566.0,0.0,-2.66,down,,
300476.SZ,2026-06-26,319.55,0.0,-13.4,down,,
688256.SH,2026-06-26,1458.0,0.0,-3.28,down,,
